acpi_call 1.2.2-29
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xss-lock 0.3.0.g1e158fb20108-4
xterm 372-1
yay 11.1.2-1
yelp 41.2-1
youtube-dl 2021.12.17-1
yt-dlp 2022.03.08.1-1
zathura 0.4.9-1
zathura-cb 0.1.9-1
zathura-djvu 0.2.9-1
zathura-pdf-mupdf 0.3.8-1
zip 3.0-10
